project_key,file_path,sonar_complexity,sonar_ncloc,sonar_cognitive_complexity,sonar_comment_lines_density,sonar_reliability_rating,sonar_security_rating,sonar_sqale_rating,sonar_sqale_index,sonar_violations,sonar_code_smells,sonar_bugs,sonar_vulnerabilities,sonar_duplicated_blocks,sonar_duplicated_lines_density,sonar_test_success_density,repo,analysis_date_utc,repo_head_sha,sonar_host_url,sonar_project_key
guava,guava-tests/test/com/google/common/cache/TestingRemovalListeners.java,11,54,,16.9,1.0,1.0,1.0,5,1,1,,,1,70.4,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/cache/TestingWeighers.java,8,37,,11.9,1.0,1.0,1.0,,,,,,1,64.8,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractBiMapTest.java,2,43,,12.2,1.0,1.0,1.0,,,,,,1,56.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractFilteredMapTest.java,25,143,1,0.0,1.0,1.0,1.0,52,3,3,,,1,83.1,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractHashFloodingTest.java,31,215,8,4.0,1.0,1.0,1.0,10,2,2,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractImmutableBiMapMapInterfaceTest.java,4,34,1,0.0,1.0,1.0,1.0,,,,,,1,50.0,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractImmutableMapMapInterfaceTest.java,4,33,1,2.9,1.0,1.0,1.0,,1,1,,,1,47.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractImmutableSetTest.java,72,418,22,3.7,1.0,1.0,1.0,132,15,15,,,1,89.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractImmutableSortedMapMapInterfaceTest.java,4,34,1,2.9,1.0,1.0,1.0,2,2,2,,,1,48.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/collect/AbstractImmutableTableTest.java,16,42,6,4.5,1.0,1.0,1.0,,,,,,1,55.4,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
